title,system-identifier,publication-date,doi,is-conference,journal-title,journal-id-pbn,journal-id-issn,journal-id-eissn,journal-ministerial-list,journal-points,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
A local approximation algorithm for minimum dominating set problem in anonymous planar networks,PX-58dbf706d5de83e77266a593,2015,10.1007/s00446-015-0247-6,,DISTRIBUTED COMPUTING,26369,,,A,25,Wojciech Maciej,Wawrzyniak,,1480362,,TRUE,TRUE
A non-archimedean Dugundji extension theorem,399b0c8d-cbe3-464c-883d-6dd66e988a08,2013,10.1007/s10587-013-0010-8,,CZECHOSLOVAK MATHEMATICAL JOURNAL,,22041,22041,A,15,Jerzy,Kąkol,,1480285,,TRUE,TRUE
A non-archimedean Dugundji extension theorem,399b0c8d-cbe3-464c-883d-6dd66e988a08,2013,10.1007/s10587-013-0010-8,,CZECHOSLOVAK MATHEMATICAL JOURNAL,,22041,22041,A,15,Wiesław,Śliwa,,1480342,,TRUE,TRUE
A note on closedness of algebraic sum of sets,4ff1f88e-9f0e-44d7-b41c-88705a5a4d31,2016,10.1515/tmj-2016-0020,,Tbilisi Mathematical Journal,,,,,,Hubert,Przybycień,,1480322,,TRUE,TRUE
A note on complex symmetric composition operators on the Bergman space A2(D),a74bdc3d-4143-4a41-b3ae-007c51000561,2018,10.7169/facm/1726,,"Functiones et Approximatio, Commentarii Mathematici",42519,,,B,14,Paweł,Mleczko,,1480358,,TRUE,TRUE
A note on D-efficiency of biased chemical balance weighing designs,0b1375b1-9469-49e1-80a2-6f4d1fa90d7b,2014,,,Colloquium Biometricum,,42778,,B,8,Krystyna,Katulska,021470,1480284,,TRUE,TRUE
A note on D-efficiency of biased chemical balance weighing designs,0b1375b1-9469-49e1-80a2-6f4d1fa90d7b,2014,,,Colloquium Biometricum,,42778,,B,8,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
A note on D-optimal chemical balance weighing designs and their application,84bf4c2f-2720-4586-ab8c-04df7c61d29f,2013,,,Colloquium Biometricum,,42778,,B,8,Krystyna,Katulska,021470,1480284,,TRUE,TRUE
A note on D-optimal chemical balance weighing designs and their application,84bf4c2f-2720-4586-ab8c-04df7c61d29f,2013,,,Colloquium Biometricum,,42778,,B,8,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
A note on D-optimal chemical balance weighing designs with autocorrelated observations,98e4bc7e-e9ed-488a-8e96-082b09f14687,2016,10.1007/s00362-015-0676-0,,STATISTICAL PAPERS,,30980,30980,A,20,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
A note on Linnik’s approach to the Dirichlet L-functions,WOS:000400278600009,2017,10.1134/S0081543817010096,,Proceedings of the Steklov Institute of Mathematics,25001,,,A,15,Jerzy,Kaczorowski,,969486,,TRUE,TRUE
A note on repeated measures analysis for functional data,ac63c62c-6424-4279-a3ed-2f40d6277edb,2019,10.1007/s10182-018-00348-8,,AStA-Advances in Statistical Analysis,40963,,,,,Łukasz,Smaga,,3993619,,TRUE,TRUE
A note on the D-optimality and D-efficiency of nonorthogonal blocked main effects plans,b757c19a-8324-49b0-bcc2-7fb83e17a217,2016,10.1515/bile-2016-0009,,Biometrical Letters,41334,,,B,12,Łukasz,Smaga,,3993619,,TRUE,TRUE
A Note on the Paper ”Fractional Order Pettis Integral Equations with Multiple Time Delay in Banach Spaces” by M. Benchohra and F.-Z. Mostefai,c97b661b-0d7a-4a9c-ab14-b360e9470473,2015,10.1515/aicu-2015-0025,,Analele Stiintifice ale Universitatii Al I Cuza din Iasi-Serie Noua-Matematica,34782,,,A,15,Mieczysław,Cichoń,035091,923959,,TRUE,TRUE
A Note on the Spectrum of Composition Operators on Spaces of Real Analytic Functions,PX-58dbf47cd5de83e77266a57a,2017,10.1007/s11785-016-0589-5,,Complex Analysis and Operator Theory,39247,,,A,20,Paweł Jan,Domański,,969017,,TRUE,TRUE
A note on the sum of closed ideals and Riesz subspaces,87438284-4cf6-4853-9e27-30ac811a402c,2015,10.1007/s11117-014-0288-2,,POSITIVITY,,36152,36152,A,25,Witold,Wnuk,066516,1480287,,TRUE,TRUE
A note on variable selection in functional regression via random subspace method,edfd456f-e483-4c0c-8475-21c536fd2779,2018,10.1007/s10260-018-0421-7,,Statistical Methods and Applications,38972,,,A,15,Łukasz,Smaga,,3993619,,TRUE,TRUE
A preservation result for completely regular locales,eb763e95-9d3e-499d-bc7b-6b519d3a71e7,2014,10.1016/j.topol.2014.02.017,,TOPOLOGY AND ITS APPLICATIONS,26103,,,A,20,Tomasz,Kubiak,,1480335,,TRUE,TRUE
A quantitative approach to weak compactness in Fréchet spaces and spaces C(X),68b06932-d9b6-4a18-8bbb-9d9604cbddc6,2013,10.1016/j.jmaa.2013.01.055,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Jerzy,Kąkol,,1480285,,TRUE,TRUE
"A quantitative version of Krein's theorems for Fr,chet spaces",WOS:000321963700008,2013,10.1007/s00013-013-0513-4,,ARCHIV DER MATHEMATIK,,,,,,Carlos,Angosto,,,,,
"A quantitative version of Krein's theorems for Fr,chet spaces",WOS:000321963700008,2013,10.1007/s00013-013-0513-4,,ARCHIV DER MATHEMATIK,,,,,,Jerzy,Kakol,,,,TRUE,TRUE
"A quantitative version of Krein's theorems for Fr,chet spaces",WOS:000321963700008,2013,10.1007/s00013-013-0513-4,,ARCHIV DER MATHEMATIK,,,,,,Albert,Kubzdela,,,,,
"A quantitative version of Krein's theorems for Fr,chet spaces",WOS:000321963700008,2013,10.1007/s00013-013-0513-4,,ARCHIV DER MATHEMATIK,,,,,,Manuel,Lopez-Pellicer,,,,,
A quantitative version of Krein’s theorems for Fréchet spaces,41c3cb43-ad34-4dd1-8b49-8468a86ae12e,2013,10.1007/s00013-013-0513-4,,ARCHIV DER MATHEMATIK,,21506,21506,A,20,Jerzy,Kąkol,027072,1480285,,TRUE,TRUE
A query language for WordNet-like lexical databases,4abab3e0-2474-4c8e-83b4-9a2ba530f4ed,2016,10.1504/IJIIDS.2016.075419,,International Journal of Intelligent Information and Database Systems,,43424,43424,B,10,Marek Damian,Kubis,,3993618,,TRUE,TRUE
A remark on A+B and A-A for compact sets in $R^n$,f0c368cb-7113-4693-ac77-5d33417cdd84,2016,,,Integers electronic journal of combinatorial number theory,,,,,,Schoen,Tomasz,,1480313,,TRUE,TRUE
A remark on certain simultaneous divisibility sequences,1b144ac3-26ab-49c6-b700-0743bed222c4,2014,10.4064/cm137-2-5,,Colloquium Mathematicum,,42748,42748,A,15,Stefan,Barańczuk,118224,1480350,,TRUE,TRUE
A remark on certain simultaneous divisibility sequences,1b144ac3-26ab-49c6-b700-0743bed222c4,2014,10.4064/cm137-2-5,,Colloquium Mathematicum,,42748,42748,A,15,Piotr,Rzonsowski,190936,1480366,,TRUE,TRUE
A semi-automatic method for thematic classification of documents in a large text corpus,00b24341-2e7f-46a0-b392-69c3e26f038c,2015,,,Proceedings of the Workshop on Corpus-Based Research in the Humanities (CRH),,,,,,Filip,Graliński,,1480349,,TRUE,TRUE
A semi-automatic method for thematic classification of documents in a large text corpus,00b24341-2e7f-46a0-b392-69c3e26f038c,2015,,,Proceedings of the Workshop on Corpus-Based Research in the Humanities (CRH),,,,,,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
A separable Fréchet space of almost universal disposition,PBN-R:789708,2017,10.1016/j.jfa.2016.09.019,,JOURNAL OF FUNCTIONAL ANALYSIS,22861,,,A,40,Jerzy,Kąkol,,1480285,,TRUE,TRUE
A sharp threshold for collapse of the random triangular group,6fa1d568-4fd4-42a6-9286-a94126e2ae61,2017,10.4171/GGD/417,,Groups Geometry and Dynamics,39244,,,A,35,Sylwia,Antoniuk,,3956490,,TRUE,TRUE
A sharp threshold for collapse of the random triangular group,6fa1d568-4fd4-42a6-9286-a94126e2ae61,2017,10.4171/GGD/417,,Groups Geometry and Dynamics,39244,,,A,35,Tomasz,Łuczak,,1480343,,TRUE,TRUE
A short note on cops and robber playing on total graph,f2cf64ac-f5b6-4485-a56d-a7fc1c9ecee1,2017,,,Asian Journal of Mathematics and Computer Research,51482,,,,,Marcin,Witkowski,,3980572,,TRUE,TRUE
A short note on cops and robber playing on total graph,f2cf64ac-f5b6-4485-a56d-a7fc1c9ecee1,2017,,,Asian Journal of Mathematics and Computer Research,51482,,,,,Łukasz,Witkowski,,,,TRUE,FALSE
A short proof of ErdAs' conjecture for triple systems,WOS:000396125300012,2017,10.1007/s10474-017-0692-8,,ACTA MATHEMATICA HUNGARICA,,,,,,P.,Frankl,,,,,
A short proof of ErdAs' conjecture for triple systems,WOS:000396125300012,2017,10.1007/s10474-017-0692-8,,ACTA MATHEMATICA HUNGARICA,,,,,,V.,Rodl,,,,,
A short proof of ErdAs' conjecture for triple systems,WOS:000396125300012,2017,10.1007/s10474-017-0692-8,,ACTA MATHEMATICA HUNGARICA,,,,,,A.,Rucinski,,,,TRUE,TRUE
A short proof of Erdős’ conjecture for triple systems,c35f6b32-4e16-440d-9da3-46c72e26ce0c,2017,10.1007/s10474-017-0692-8,,ACTA MATHEMATICA HUNGARICA,26903,,,A,20,Andrzej,Ruciński,,1480332,,TRUE,TRUE
A strengthened analysis of a local algorithm for the minimum dominating set problem in planar graphs,afa4a075-c857-4b3c-839a-6a35e0d6132b,2014,10.1016/j.ipl.2013.11.008,,INFORMATION PROCESSING LETTERS,22571,,,A,20,Wojciech Maciej,Wawrzyniak,,1480362,,TRUE,TRUE
A tale of stars and cliques,763a0077-f319-49a2-a130-4603ef859a48,2018,10.1016/j.jcta.2018.06.009,,JOURNAL OF COMBINATORIAL THEORY SERIES A,25272,,,A,35,Tomasz,Łuczak,,1480343,,TRUE,TRUE
A tale of stars and cliques,763a0077-f319-49a2-a130-4603ef859a48,2018,10.1016/j.jcta.2018.06.009,,JOURNAL OF COMBINATORIAL THEORY SERIES A,25272,,,A,35,Joanna,Polcyn-Lewandowska,,1480370,,TRUE,TRUE
A two-sample test based on cluster subspaces for equality of mean vectors in high dimension,c6a77e9f-490d-4392-9fcc-2cd87b242fd3,2017,10.7151/dmps.1195,,Discussiones Mathematicae Probability and Statistics,43092,,,B,10,Łukasz,Smaga,,3993619,,TRUE,TRUE
A variant of gravitational classification,60860208-9dba-465e-b0a5-b4e3b6910687,2014,10.2478/bile-2014-0001,,Biometrical Letters,41334,,,B,12,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
A Weak Converse Theorem for Degree 2 $L$-Functions with Conductor 1,c353ab72-e8cd-45b8-b260-807ccd1297d5,2017,10.4171/PRIMS/53-2-5,,PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,23822,,,A,30,Jerzy,Kaczorowski,,969486,,TRUE,TRUE
Abelian varieties over finitely generated fields and the conjecture of Geyer and Jarden on torsion,ac216ff0-1ba5-4efe-9907-30665259cdd1,2013,10.1002/mana.201200217,,MATHEMATISCHE NACHRICHTEN,,23231,23231,A,30,Wojciech Jerzy,Gajda,,1480333,,TRUE,TRUE
Abel’s Functional Equation and Eigenvalues of Composition Operators on Spaces of Real Analytic Functions,9ff35f03-940d-4c09-84ed-b325bd01fba5,2015,10.1007/s00020-014-2175-4,,INTEGRAL EQUATIONS AND OPERATOR THEORY,,28713,28713,A,35,Paweł Jan,Domański,,969017,,TRUE,TRUE
Additive dimension and a theorem of Sanders,d1054459-4a52-4e97-89c1-908461829858,2015,10.1017/S1446788715000324,,JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,,36810,36810,A,20,Tomasz,Schoen,,1480313,,TRUE,TRUE
Algebraic independence of logarithmic singularities of some complex functions,5036bbbf-c548-4272-82a1-81492ba1f6a7,2014,10.1016/j.jmaa.2013.09.005,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Maciej,Radziejewski,095110,1480321,,TRUE,TRUE
Algebraic separation and shadowing of arbitrary sets,e67a91bc-573f-4874-ae89-6c50a588c25e,2013,10.14708/cm.v53i2.781,,Commentationes Mathematicae,28616,,,B,9,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Algebraic separation and shadowing of arbitrary sets,e67a91bc-573f-4874-ae89-6c50a588c25e,2013,10.14708/cm.v53i2.781,,Commentationes Mathematicae,28616,,,B,9,Ryszard,Urbański,021418,923977,,TRUE,TRUE
Algorithms for Relatively Cyclotomic Primes,890b9bdb-7765-4d9c-b546-5ec38b8c069e,2013,10.3233/FI-2013-858,,FUNDAMENTA INFORMATICAE,26246,,,A,20,Maciej,Grześkowiak,104115,1480328,,TRUE,TRUE
Alternative approach to sums of dilates,WOS:000441384100003,2018,10.7546/nntdm.2018.24.2.21-27,,NOTES ON NUMBER THEORY AND DISCRETE MATHEMATICS,,,,,,Rafal,Bystrzycki,,,,,
Alternative approach to sums of dilates,WOS:000441384100003,2018,10.7546/nntdm.2018.24.2.21-27,,NOTES ON NUMBER THEORY AND DISCRETE MATHEMATICS,,,,,,Tomasz,Schoen,,1480313,,TRUE,TRUE
An Algebraic Sato-Tate Group and Sato-Tate Conjecture,d706f665-c966-4e63-b2c6-f2bb85af695b,2015,10.1512/iumj.2015.64.5438,,INDIANA UNIVERSITY MATHEMATICS JOURNAL,22920,,,A,35,Grzegorz Marian,Banaszak,,1480338,,TRUE,TRUE
An Algorithmic Construction of Finite Elliptic Curves of Order Divisible by a Large Prime,b503e480-4c1b-4f98-aa54-393ba832c8b9,2015,10.3233/FI-2015-1161,,FUNDAMENTA INFORMATICAE,,26246,,A,20,Maciej,Grześkowiak,104115,1480328,,TRUE,TRUE
An algorithmic study of relative cardinalities for interval-valued fuzzy sets,d64a61b7-a0a3-441e-9241-579f395430cd,2016,10.1016/j.fss.2015.11.007,,FUZZY SETS AND SYSTEMS,26017,,,A,40,Anna,Stachowiak,,1480351,,TRUE,TRUE
An algorithmic study of relative cardinalities for interval-valued fuzzy sets,d64a61b7-a0a3-441e-9241-579f395430cd,2016,10.1016/j.fss.2015.11.007,,FUZZY SETS AND SYSTEMS,26017,,,A,40,Maciej,Wygralak,,1480291,,TRUE,TRUE
An algorithmic study of relative cardinalities for interval-valued fuzzy sets,d64a61b7-a0a3-441e-9241-579f395430cd,2016,10.1016/j.fss.2015.11.007,,FUZZY SETS AND SYSTEMS,26017,,,A,40,Patryk,Żywica,,3992437,,TRUE,TRUE
An application of functional multivariate regression model to multiclass classification,PX-5aa44708d5dee6d197027713,2017,10.21307/stattrans-2016-079,,STATISTICS IN TRANSITION,35068,,,B,15,Mirosław,Krzyśko,,915410,,TRUE,TRUE
An application of functional multivariate regression model to multiclass classification,PX-5aa44708d5dee6d197027713,2017,10.21307/stattrans-2016-079,,STATISTICS IN TRANSITION,35068,,,B,15,Łukasz,Smaga,,3993619,,TRUE,TRUE
An application of LF-spaces to Silverman–Toeplitz type theorems,PX-5979b7bcd5de8080f06ebcaf,2017,10.1016/j.jmaa.2017.06.062,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Lech,Drewnowski,,1480308,,TRUE,
An exponential-type upper bound for Folkman numbers,22329863-a6b1-436a-b7ec-ecf3af3229fb,2017,10.1007/s00493-015-3298-1,,COMBINATORICA,26650,,,A,35,Andrzej,Ruciński,,1480332,,TRUE,TRUE
An extension of the classical distance correlation coefficient for multivariate functional data with application,1baa7014-d872-4c59-a376-b7895aa7a367,2016,,,STATISTICS IN TRANSITION,,35068,35068,B,15,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
An extension of the classical distance correlation coefficient for multivariate functional data with application,1baa7014-d872-4c59-a376-b7895aa7a367,2016,,,STATISTICS IN TRANSITION,,35068,35068,B,15,Mirosław,Krzyśko,027331,915410,,TRUE,TRUE
An extension of the classical distance correlation coefficient for multivariate functional data with application,1baa7014-d872-4c59-a376-b7895aa7a367,2016,,,STATISTICS IN TRANSITION,,35068,35068,B,15,Waldemar,Wołyński,027270,923993,,TRUE,TRUE
An improved upper bound on the density of universal random graphs,557f6e3e-57dd-4226-931d-3d1e54fd2486,2015,10.1002/rsa.20545,,RANDOM STRUCTURES & ALGORITHMS,,32922,32922,A,30,Andrzej,Ruciński,009540,1480332,,TRUE,TRUE
Anagram-Free Colourings of Graphs,0a8e0fde-c149-4e5b-9966-4052b6ee9076,2018,10.1017/S096354831700027X,,COMBINATORICS PROBABILITY & COMPUTING,31658,,,A,25,Tomasz,Łuczak,,1480343,,TRUE,TRUE
Analiza składowych głównych dla danych czasowo-przestrzennych,8def0f2b-8e16-4acd-9bed-40e84facc82a,2018,10.15611/pn.2018.507.11,,PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU,41439,,,B,10,Waldemar,Wołyński,,923993,,TRUE,TRUE
Analiza składowych głównych dla danych czasowo-przestrzennych,8def0f2b-8e16-4acd-9bed-40e84facc82a,2018,10.15611/pn.2018.507.11,,PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU,41439,,,B,10,Mirosław,Krzyśko,,915410,,TRUE,
Analysis of multivariate repeated measures data using a MANOVA model and principal components,4ac3ddb9-1662-4ad7-947b-7f50eb24615d,2014,10.2478/bile-2014-0008,,Biometrical Letters,41334,,,B,12,Mirosław,Krzyśko,027331,915410,,TRUE,TRUE
Analysis of multivariate repeated measures data using a MANOVA model and principal components,4ac3ddb9-1662-4ad7-947b-7f50eb24615d,2014,10.2478/bile-2014-0008,,Biometrical Letters,41334,,,B,12,Waldemar,Wołyński,027270,923993,,TRUE,TRUE
Analytic families of multilinear operators.,e3e822e9-f3f5-4157-a19b-b54aaa219bfa,2014,10.1016/j.na.2014.04.019,,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,28477,,,A,45,Mieczysław,Mastyło,,971105,,TRUE,TRUE
Analytic monoids and factorization problems,f8545281-5e36-41d2-bfbc-c2b30a3b5559,2017,10.1007/s00233-016-9778-9,,SEMIGROUP FORUM,24024,,,A,25,Jerzy,Kaczorowski,,969486,,TRUE,TRUE
Another mean ergodic characterization of quasi-reflexive spaces,2cd660c9-bf92-4f4c-8b4e-8e8b52d93531,2013,10.1016/j.jmaa.2013.04.058,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Krzysztof,Piszczek,130031,1480347,,TRUE,TRUE
Application of synchronous fluorescence spectroscopy with multivariate data analysis for determination of butter adulteration,69f418d9-5276-4c4d-8df4-8f362f4d845e,2014,10.1111/ijfs.12594,,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,,31266,31266,A,25,Wojciech,Kowalewski,071116,1480310,,TRUE,TRUE
Applications of Henstock-Kurzweil integrals on an unbounded interval to differential and integral equations,95242cb0-0420-4fe8-a5a6-fe7c7dc1a8b3,2018,10.1515/ms-2017-0082,,Mathematica Slovaca,25585,,,A,20,Marcin,Borkowski,,1480352,,TRUE,TRUE
Applications of Henstock-Kurzweil integrals on an unbounded interval to differential and integral equations,95242cb0-0420-4fe8-a5a6-fe7c7dc1a8b3,2018,10.1515/ms-2017-0082,,Mathematica Slovaca,25585,,,A,20,Daria Barbara,Bugajewska,,1480327,,TRUE,TRUE
Approximate counting of regular hypergraphs,38645cee-3381-4648-928e-36793c57d671,2013,10.1016/j.ipl.2013.07.018,,INFORMATION PROCESSING LETTERS,22571,,,A,20,Andrzej,Ruciński,,1480332,,TRUE,TRUE
Approximate strong equilibria in job scheduling games with two uniformly related machines,PX-57bf559fc2dc9d0771a8190f,2013,10.1016/j.dam.2013.02.035,,DISCRETE APPLIED MATHEMATICS,26090,,,A,25,Marcin,Witkowski,,3980572,,TRUE,FALSE
Approximate strong equilibria in job scheduling games with two uniformly related machines,PX-57bf559fc2dc9d0771a8190f,2013,10.1016/j.dam.2013.02.035,,DISCRETE APPLIED MATHEMATICS,26090,,,A,25,Łukasz,Witkowski,,,,TRUE,
Approximative full solutions of difference equations,1ba3034f-e9b7-4b73-b8ca-f2d90adc32a4,2014,,,INTERNATIONAL JOURNAL OF DIFFERENCE EQUATIONS,43714,,,B,9,Janusz,Migda,027102,1480288,,TRUE,TRUE
Approximative solutions of difference equations,e4419cbe-b124-41da-af58-c59ab2502d57,2014,10.14232/ejqtde.2014.1.13,,Electronic Journal of Qualitative Theory of Differential Equations,,36424,,A,30,Janusz,Migda,027102,1480288,,TRUE,TRUE
Approximative solutions to difference equations of neutral type,3225d942-02f4-4e38-b1b1-95516c27bd37,2015,10.1016/j.amc.2015.06.097,,APPLIED MATHEMATICS AND COMPUTATION,,25262,,A,40,Janusz,Migda,,1480288,,TRUE,TRUE
Ascent and descent cones of ordered median block functions,decef73f-bb9c-44de-bfe6-5b8c23c66fbe,2018,10.1080/02331934.2018.1429432,,OPTIMIZATION,26892,,,A,25,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Ascent and descent cones of ordered median block functions,decef73f-bb9c-44de-bfe6-5b8c23c66fbe,2018,10.1080/02331934.2018.1429432,,OPTIMIZATION,26892,,,A,25,Ryszard,Urbański,,923977,,TRUE,TRUE
Aspekty edukacyjne wirtualnych światów. Aplikacja Second Life,PBN-R:844484,2017,10.15584/eti.2017.2.35,,Edukacja - Technika - Informatyka,43221,,,B,9,Anna,Ren-Kurc,,925542,,TRUE,
Aspekty edukacyjne wirtualnych światów. Aplikacja Second Life,PBN-R:844484,2017,10.15584/eti.2017.2.35,,Edukacja - Technika - Informatyka,43221,,,B,9,Mirosława,Kołowska-Gawiejnowicz,,1480344,,TRUE,TRUE
Assesing the Raters Agreement in the Diagnostic Catheter Tube Connector Production Process Using Novel Fuzzy Similarity Coefficient,51f9a2d6-58a5-4ab1-9163-de0b90883504,2016,10.1109/IEEM.2016.7797870,TRUE,Proceedings of the 2016 IEEE International Conference on Industrial Engineering and Engineering Management  (IEEM 2016),,,,,,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
Assortativity and clustering of sparse random intersection graphs,512cfcfb-b68e-4ac5-8d86-56f533011b47,2013,10.1214/EJP.v18-2277,,ELECTRONIC JOURNAL OF PROBABILITY,33792,,,A,25,Jerzy,Jaworski,005074,1480290,,TRUE,TRUE
Asymptotic behavior of solutions of discrete Volterra equations,bc7998e8-9484-4cf9-ba14-47e5545dd099,2016,10.7494/OpMath.2016.36.2.265,,Opuscula Mathematica,,35017,35017,B,11,Janusz,Migda,,1480288,,TRUE,TRUE
ASYMPTOTIC BEHAVIOR OF SOLUTIONS OF SECOND ORDER DIFFERENCE EQUATIONS WITH DEVIATING ARGUMENT,WOS:000458493700026,2018,10.18514/MMN.2018.2735,,MISKOLC MATHEMATICAL NOTES,,,,,,Janusz,Migda,,1480288,,TRUE,TRUE
