title,system-identifier,publication-date,doi,is-conference,book-title,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,f274839b-2af8-49f2-be9f-306c776ed5ad,2017,10.1007/978-3-319-65545-1_11,TRUE,A Decision-Making Model in an IVFS Environment Based on Sigma f-Count Cardinality,Maciej,Wygralak,,1480291,,TRUE,TRUE
A decision-making model in an IVFS environment based on sigma f-count cardinality,e944a8a0-132f-4835-a1fc-0caeba5c7416,2018,10.1007/978-3-319-65545-1_11,TRUE,A decision-making model in an IVFS environment based on sigma f-count cardinality,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
A decision-making model in an IVFS environment based on sigma f-count cardinality,e944a8a0-132f-4835-a1fc-0caeba5c7416,2018,10.1007/978-3-319-65545-1_11,TRUE,A decision-making model in an IVFS environment based on sigma f-count cardinality,Anna,Stachowiak,,1480351,,TRUE,TRUE
A decision-making model in an IVFS environment based on sigma f-count cardinality,e944a8a0-132f-4835-a1fc-0caeba5c7416,2018,10.1007/978-3-319-65545-1_11,TRUE,A decision-making model in an IVFS environment based on sigma f-count cardinality,Maciej,Wygralak,,1480291,,TRUE,TRUE
A new method for computing relative cardinality of IFSs with algebraic t-norm,bc06e969-a9da-4d7e-9057-446398b60e21,2014,,,A new method for computing relative cardinality of IFSs with algebraic t-norm,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
A new method for computing relative cardinality of IFSs with algebraic t-norm,bc06e969-a9da-4d7e-9057-446398b60e21,2014,,,A new method for computing relative cardinality of IFSs with algebraic t-norm,Patryk,Żywica,,3992437,,TRUE,FALSE
A new necessary condition of optimality for a single machine scheduling problem with deteriorating jobs,5dbfd080-99f6-4ad4-8120-8b326dc61895,2017,,TRUE,A new necessary condition of optimality for a single machine scheduling problem with deteriorating jobs,Stanisław Jan,Gawiejnowicz,,3934774,,TRUE,TRUE
A new necessary condition of optimality for a single machine scheduling problem with deteriorating jobs,5dbfd080-99f6-4ad4-8120-8b326dc61895,2017,,TRUE,A new necessary condition of optimality for a single machine scheduling problem with deteriorating jobs,Wiesław,Kurc,,1480276,,TRUE,
A note on Bessel twists of L-functions,99359f0a-44d5-468f-af21-8062488577d2,2015,10.1007/978-3-319-22240-0_13,,A note on Bessel twists of L-functions,Jerzy,Kaczorowski,,969486,,TRUE,TRUE
A semantic similarity measurement tool for wordnet-like databases,d71e20e2-4082-46ed-ad55-c053152439e1,2018,10.1007/978-3-319-93782-3_12,TRUE,A semantic similarity measurement tool for wordnet-like databases,Marek,Kubis,190535,3993618,,TRUE,TRUE
A Tool for Transforming WordNet-Like Databases,PX-58d6ff5ed5deece355a3d286,2014,10.1007/978-3-319-08958-4_28,TRUE,A Tool for Transforming WordNet-Like Databases,Marek Damian,Kubis,,3993618,,TRUE,TRUE
An Algorithm for Inconsistency Management in Spatial Knowledge Integration,PX-58d58318d5dee8a5c51b0bc6,2014,10.1007/978-3-319-08958-4_12,TRUE,An Algorithm for Inconsistency Management in Spatial Knowledge Integration,Krzysztof,Jassem,,922753,,TRUE,TRUE
An Algorithm for Inconsistency Management in Spatial Knowledge Integration,PX-58d58318d5dee8a5c51b0bc6,2014,10.1007/978-3-319-08958-4_12,TRUE,An Algorithm for Inconsistency Management in Spatial Knowledge Integration,Marcin,Walas,,,,TRUE,
An Example of a Compatible NLP Toolkit,PX-58cc41ebd5de5ba5a7ee1a7d,2016,10.1007/978-3-319-43808-5_16,TRUE,An Example of a Compatible NLP Toolkit,Krzysztof,Jassem,,922753,,TRUE,TRUE
An Example of a Compatible NLP Toolkit,PX-58cc41ebd5de5ba5a7ee1a7d,2016,10.1007/978-3-319-43808-5_16,TRUE,An Example of a Compatible NLP Toolkit,Roman,Grundkiewicz,,4021404,,TRUE,
An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,15109d6c-9125-4695-a994-103b6096c35d,2015,,TRUE,An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,15109d6c-9125-4695-a994-103b6096c35d,2015,,TRUE,An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,15109d6c-9125-4695-a994-103b6096c35d,2015,,TRUE,An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,Andrzej,Wójtowicz,,3990306,,TRUE,FALSE
An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,15109d6c-9125-4695-a994-103b6096c35d,2015,,TRUE,An Intelligent System for Computer-Aided Ovarian Tumor Diagnosis,Patryk,Żywica,,3992437,,TRUE,FALSE
An Interpretation of Full Lambek Calculus in Its Variant without Empty Antecedents of Sequents,f4afc322-007e-4ee5-ba27-e74e5300b86b,2014,10.1007/978-3-662-43742-1_3,,An Interpretation of Full Lambek Calculus in Its Variant without Empty Antecedents of Sequents,Wojciech,Buszkowski,012847,1480297,,TRUE,TRUE
An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,ee9333c0-e794-4bbc-a5b1-6a2257445a65,2015,10.1007/978-3-319-11313-5_65,TRUE,An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,ee9333c0-e794-4bbc-a5b1-6a2257445a65,2015,10.1007/978-3-319-11313-5_65,TRUE,An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,ee9333c0-e794-4bbc-a5b1-6a2257445a65,2015,10.1007/978-3-319-11313-5_65,TRUE,An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,Andrzej,Wójtowicz,,3990306,,TRUE,FALSE
An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,ee9333c0-e794-4bbc-a5b1-6a2257445a65,2015,10.1007/978-3-319-11313-5_65,TRUE,An Interval-Valued Fuzzy Classifier Based on an Uncertainty-Aware Similarity Measure,Patryk,Żywica,,3992437,,TRUE,FALSE
An Uncertainty Aware Medical Diagnosis Support System,9838b9f2-546c-410a-afc5-c825bacbb5e8,2018,,,An Uncertainty Aware Medical Diagnosis Support System,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
An Uncertainty Aware Medical Diagnosis Support System,9838b9f2-546c-410a-afc5-c825bacbb5e8,2018,,,An Uncertainty Aware Medical Diagnosis Support System,Andrzej,Wójtowicz,,3990306,0000-0003-1385-6572,TRUE,TRUE
An Uncertainty Aware Medical Diagnosis Support System,9838b9f2-546c-410a-afc5-c825bacbb5e8,2018,,,An Uncertainty Aware Medical Diagnosis Support System,Patryk,Żywica,,3992437,,TRUE,TRUE
An Uncertainty Aware Medical Diagnosis Support System,9838b9f2-546c-410a-afc5-c825bacbb5e8,2018,,,An Uncertainty Aware Medical Diagnosis Support System,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
Andrzeja Mostowskiego filozofia matematyki i logiki,87c25c16-550c-4476-adbc-a1cc24fdef16,2013,,,Andrzeja Mostowskiego filozofia matematyki i logiki,Roman,Murawski,021531,1480282,,TRUE,TRUE
Anfänge der Mengenlehre in Polen,a3de20db-c738-4eba-8d41-9537e1631f04,2014,,,Anfänge der Mengenlehre in Polen,Roman,Murawski,021531,1480282,,TRUE,TRUE
Anubis - Speeding Up Computer-Aided Translation,PX-58d575d0d5dee8a5c51b039b,2013,10.1007/978-3-642-34399-5_14,,Anubis - Speeding Up Computer-Aided Translation,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Appropriate selection of mathematics tasks as a support of effective teacher's work.,d53851fa-8532-4554-b02f-7c5a6808805f,2016,,,Appropriate selection of mathematics tasks as a support of effective teacher's work.,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE
"Approximate counting of matchings in (3,3)-hypergraphs",5fb2d40c-1e67-4bd7-b909-9e859c7880b3,2014,,TRUE,"Approximate counting of matchings in (3,3)-hypergraphs",Andrzej,Ruciński,009540,1480332,,TRUE,TRUE
"Approximate counting of matchings in (3,3)-hypergraphs",5fb2d40c-1e67-4bd7-b909-9e859c7880b3,2014,,TRUE,"Approximate counting of matchings in (3,3)-hypergraphs",Edyta Barbara,Szymańska,,1480326,,TRUE,TRUE
Approximate sentence matching and its applications in corpus-based research,PX-58d4197fd5dea70817e8dd7a,2015,10.17234/INFUTURE.2015.4,TRUE,Approximate sentence matching and its applications in corpus-based research,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Approximative Solutions to Autonomous Difference Equations of Neutral Type,fa1efec5-7362-491b-bcb8-5e7f44c6c345,2018,,TRUE,Approximative Solutions to Autonomous Difference Equations of Neutral Type,Janusz,Migda,,1480288,,TRUE,TRUE
Automatic Converb Detection in Early Braj,3244427b-31fd-40f5-af1e-338e049b1378,2017,,TRUE,Automatic Converb Detection in Early Braj,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Automatic Summarization of Polish News Articles by Sentence Selection,PX-58cad75dd5de41e3cc5301a3,2015,10.15439/2015F186,TRUE,Automatic Summarization of Polish News Articles by Sentence Selection,Krzysztof,Jassem,,922753,,TRUE,TRUE
Automatic Summarization of Polish News Articles by Sentence Selection,PX-58cad75dd5de41e3cc5301a3,2015,10.15439/2015F186,TRUE,Automatic Summarization of Polish News Articles by Sentence Selection,Łukasz,Pawluczuk,,,,TRUE,
Awareness of dealing with multiple representations in the mathematics classroom – a study with teachers in Poland and Germany,8419747b-5e8f-4c45-969e-96e47f03de49,2014,,TRUE,Awareness of dealing with multiple representations in the mathematics classroom – a study with teachers in Poland and Germany,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
Benedykt Bornstein i jego wizja matematyki i logiki,14026689-9bf9-4788-bbb6-d6f5373e1cef,2016,,,Benedykt Bornstein i jego wizja matematyki i logiki,Roman,Murawski,021531,1480282,,TRUE,TRUE
Beschreibung und Beurteilung von (metakognitiver und diskursiver) Unterrichtsqualität im Mathematikunterricht,2524c75c-3c78-441c-992d-876c42e32535,2018,,TRUE,Beschreibung und Beurteilung von (metakognitiver und diskursiver) Unterrichtsqualität im Mathematikunterricht,Edyta Agnieszka,Nowińska,,1480361,,,TRUE
Building wordnet based ontologies with expert knowledge,f1796b98-ae20-4b97-87dd-660545c31517,2016,,TRUE,Building wordnet based ontologies with expert knowledge,Krzysztof,Jassem,,922753,,TRUE,TRUE
Building wordnet based ontologies with expert knowledge,f1796b98-ae20-4b97-87dd-660545c31517,2016,,TRUE,Building wordnet based ontologies with expert knowledge,Jacek,Marciniak,,3934773,,TRUE,TRUE
Categorial Grammars and Their Logics,950d03e7-b230-456e-8f44-0c41fd46f3ff,2018,,,Categorial Grammars and Their Logics,Wojciech,Buszkowski,,1480297,,TRUE,TRUE
Classical and New Aspects of the Domination and Factorization of Multilinear Operators,PX-5aa97139d5ded291c746de88,2016,,,Classical and New Aspects of the Domination and Factorization of Multilinear Operators,Mieczysław,Mastyło,,971105,,TRUE,TRUE
Co to jest komputer? Uwagi ontologiczne,a9c05aee-37e1-4c63-8304-1366590c1ce3,2015,,,Co to jest komputer? Uwagi ontologiczne,Izabela,Bondecka-Krzykowska,098270,1480320,,TRUE,TRUE
Constructive Ramsey numbers for loose hyperpaths,PX-5c7ac0b6d5de9bf1638f8351,2018,10.1007/978-3-319-77404-6_31,TRUE,Constructive Ramsey numbers for loose hyperpaths,Andrzej,Ruciński,,1480332,,TRUE,TRUE
Convergence of solutions to first order difference equations,PX-5aa97c8ad5ded291c746dfb4,2017,,TRUE,Convergence of solutions to first order difference equations,Janusz,Migda,,1480288,,TRUE,TRUE
Correlation Analysis for Multivariate Functional Data,cda8e355-16af-4d7c-960c-6f7fc30fbc04,2017,,,Correlation Analysis for Multivariate Functional Data,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Correlation Analysis for Multivariate Functional Data,cda8e355-16af-4d7c-960c-6f7fc30fbc04,2017,,,Correlation Analysis for Multivariate Functional Data,Mirosław,Krzyśko,,915410,,TRUE,TRUE
Correlation Analysis for Multivariate Functional Data,cda8e355-16af-4d7c-960c-6f7fc30fbc04,2017,,,Correlation Analysis for Multivariate Functional Data,Waldemar,Wołyński,,923993,,TRUE,TRUE
Cultural contexts for European research and design practices in Mathematics Education,602ae329-3e5e-48c3-8889-8abe2ba797e2,2016,,TRUE,Cultural contexts for European research and design practices in Mathematics Education,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Maciej,Wygralak,021555,1480291,,TRUE,TRUE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Krzysztof,Szarzyński,,,,TRUE,FALSE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Andrzej,Wójtowicz,,3990306,,TRUE,FALSE
Dealing with Uncertainty in Ovarian Tumor Diagnosis,be78b113-01d4-4ed9-ba83-5afd536e07bd,2014,,,Dealing with Uncertainty in Ovarian Tumor Diagnosis,Patryk,Żywica,,3992437,,TRUE,FALSE
Demyanov Difference in Infinite-Dimensional Spaces,00dad7ca-20bb-41e7-95b2-28850db680ce,2014,10.1007/978-1-4614-8615-2_2,,Demyanov Difference in Infinite-Dimensional Spaces,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Demyanov Difference in Infinite-Dimensional Spaces,00dad7ca-20bb-41e7-95b2-28850db680ce,2014,10.1007/978-1-4614-8615-2_2,,Demyanov Difference in Infinite-Dimensional Spaces,Ryszard,Urbański,021418,923977,,TRUE,TRUE
Dense Difference Sets and Their Combinatorial Structure,aabfc880-0265-41f7-944e-abc3cccda4bd,2013,10.1007/978-1-4614-7258-2_10,,Dense Difference Sets and Their Combinatorial Structure,Tomasz,Łuczak,027393,1480343,,TRUE,TRUE
Dependency grammars as Haskell programs,PX-58d6fdb6d5deece355a3c4bd,2016,,TRUE,Dependency grammars as Haskell programs,Tomasz Marek,Obrębski,,3934772,,TRUE,TRUE
Der Stellenwert von Diskursivität in einer mehr-dimensionalen Beurteilung der Qualität metakognitiver Aktivitäten im Unterricht,1fde64a0-9ad9-40d0-b407-f3cdc15bf805,2018,,TRUE,Der Stellenwert von Diskursivität in einer mehr-dimensionalen Beurteilung der Qualität metakognitiver Aktivitäten im Unterricht,Edyta Agnieszka,Nowińska,,1480361,,,TRUE
Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,27eb9a08-1631-4e94-b5b7-820f1bff5bb7,2014,10.1007/978-3-319-14472-6_4,TRUE,Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,Michał,Hanćkowiak,075408,1480316,,TRUE,TRUE
Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,27eb9a08-1631-4e94-b5b7-820f1bff5bb7,2014,10.1007/978-3-319-14472-6_4,TRUE,Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,Edyta Barbara,Szymańska,,1480326,,TRUE,TRUE
Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,27eb9a08-1631-4e94-b5b7-820f1bff5bb7,2014,10.1007/978-3-319-14472-6_4,TRUE,Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,Wojciech Maciej,Wawrzyniak,,1480362,,TRUE,TRUE
Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,27eb9a08-1631-4e94-b5b7-820f1bff5bb7,2014,10.1007/978-3-319-14472-6_4,TRUE,Distributed Local Approximation of the Minimum k-Tuple Dominating Set in Planar Graphs,Marcin,Witkowski,206493,3980572,,TRUE,FALSE
Dostosowanie klawiatury komputera do potrzeb osoby z dysfunkcją manualną,32464a98-e554-4442-a2ff-803213fbd4d6,2015,,,Dostosowanie klawiatury komputera do potrzeb osoby z dysfunkcją manualną,Krzysztof,Jassem,,922753,,TRUE,TRUE
Dostosowanie klawiatury komputera do potrzeb osoby z dysfunkcją manualną,32464a98-e554-4442-a2ff-803213fbd4d6,2015,,,Dostosowanie klawiatury komputera do potrzeb osoby z dysfunkcją manualną,Leszek,Lorens,,,,TRUE,FALSE
Einige philosophische und logische Bemerkungen zum Begriff der Wahrheit (in der Mathematik),fa2cd693-a264-4af1-8753-6afbe5c1cec0,2015,,,Einige philosophische und logische Bemerkungen zum Begriff der Wahrheit (in der Mathematik),Roman,Murawski,021531,1480282,,TRUE,TRUE
Elevator Pitch i Business Model Canvas jako elementy dialogu w relacjach nauka-biznes,0076d80b-f948-48a9-9520-06b924cbd7d4,2014,,,Elevator Pitch i Business Model Canvas jako elementy dialogu w relacjach nauka-biznes,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
Enhancing Tagging Systems by Wordnet Based Ontologies,bf25a104-cfee-4fbd-b4c3-89700f5b17d8,2014,,TRUE,Enhancing Tagging Systems by Wordnet Based Ontologies,Jacek,Marciniak,074900,3934773,,TRUE,TRUE
EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,a17cdcea-6e98-411c-b451-d64695ed383c,2017,,TRUE,EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,Marek Damian,Kubis,,3993618,,TRUE,TRUE
EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,a17cdcea-6e98-411c-b451-d64695ed383c,2017,,TRUE,EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,Paweł Marek,Skórzewski,,3980677,,TRUE,TRUE
EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,a17cdcea-6e98-411c-b451-d64695ed383c,2017,,TRUE,EUDAMU at SemEval-2017 Task 11: Action Ranking and Type Matching for End-User Development,Tomasz Zdzisław,Ziętkiewicz,,4360371,,TRUE,TRUE
Explicit bound for the prime ideal theorem in residue classes,PX-5c8552c7d5de4ffe79b8e7f1,2018,10.1007/978-3-319-76620-1_4,TRUE,Explicit bound for the prime ideal theorem in residue classes,Maciej,Grześkowiak,,1480328,,TRUE,TRUE
Fast food pod lingwochronologizacyjną lupą: z historii szybkich posiłków w polszczyźnie pisanej,4cbc0120-b84b-4fbd-9f7e-d8e89f8b7602,2018,,,Fast food pod lingwochronologizacyjną lupą: z historii szybkich posiłków w polszczyźnie pisanej,Filip,Graliński,,1480349,,TRUE,TRUE
Filozoficzne i teologiczne tło Cantora teorii mnogości,40eeda1c-0a67-499f-b76a-6e32ed8e894c,2017,,,Filozoficzne i teologiczne tło Cantora teorii mnogości,Roman,Murawski,,1480282,,TRUE,TRUE
Folklorystyka 2.0,7f1f264d-c7c4-4d5e-94b1-952702239ccc,2013,,,Folklorystyka 2.0,Filip,Graliński,118262,1480349,,TRUE,TRUE
Functional or predicative - how student thinking during solving mathematical problem? - analysis of students' work.,ce05604c-c4f8-4d56-a949-de3062fcfca6,2014,,,Functional or predicative - how student thinking during solving mathematical problem? - analysis of students' work.,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE
Hardware versus software,43462071-7470-4f35-9e82-5631a38e1883,2018,,,Hardware versus software,Izabela,Bondecka-Krzykowska,,1480320,,TRUE,TRUE
High inference rating system for an evaluation of metacognitiv-discursive teaching and learning quality,86bb51a6-c108-42e5-87b9-a3e39a4d0192,2017,,TRUE,High inference rating system for an evaluation of metacognitiv-discursive teaching and learning quality,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,73a287f6-d1a9-4827-81d8-25b2dc8478bd,2015,,TRUE,Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,73a287f6-d1a9-4827-81d8-25b2dc8478bd,2015,,TRUE,Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,73a287f6-d1a9-4827-81d8-25b2dc8478bd,2015,,TRUE,Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,Andrzej,Wójtowicz,,3990306,,TRUE,FALSE
Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,73a287f6-d1a9-4827-81d8-25b2dc8478bd,2015,,TRUE,Improving medical decisions under incomplete data using interval–valued fuzzy aggregation,Patryk,Żywica,,3992437,,TRUE,FALSE
Influence of dominant cognitive structure on the way of students’ thinking during problem solving,PX-58d41363d5dea70817e8d9e6,2015,,TRUE,Influence of dominant cognitive structure on the way of students’ thinking during problem solving,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE
Intelligent Counting - Connections with Classification Issues,69e38bcb-1ece-4827-97ab-1e6a8578f75d,2013,,,Intelligent Counting - Connections with Classification Issues,Maciej,Wygralak,021555,1480291,,TRUE,TRUE
Intelligent Counting - Methods and Applications,ab0dc89e-1314-49aa-856e-318775697a0b,2015,,TRUE,Intelligent Counting - Methods and Applications,Maciej,Wygralak,,1480291,,TRUE,TRUE
Interval-valued aggregation as a tool to improve medical diagnosis,2da6f69c-7d2f-4e98-acf9-d1519c51439f,2015,,TRUE,Interval-valued aggregation as a tool to improve medical diagnosis,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
Interval-valued aggregation as a tool to improve medical diagnosis,2da6f69c-7d2f-4e98-acf9-d1519c51439f,2015,,TRUE,Interval-valued aggregation as a tool to improve medical diagnosis,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
Interval-valued aggregation as a tool to improve medical diagnosis,2da6f69c-7d2f-4e98-acf9-d1519c51439f,2015,,TRUE,Interval-valued aggregation as a tool to improve medical diagnosis,Andrzej,Wójtowicz,,3990306,,TRUE,FALSE
Interval-valued aggregation as a tool to improve medical diagnosis,2da6f69c-7d2f-4e98-acf9-d1519c51439f,2015,,TRUE,Interval-valued aggregation as a tool to improve medical diagnosis,Patryk,Żywica,,3992437,,TRUE,FALSE
Jak powstaje słownik efemeryd leksykalnych polszczyzny XIX i XX wieku?,0802a6ac-0086-4c84-a5d8-95484e9041f3,2017,,,Jak powstaje słownik efemeryd leksykalnych polszczyzny XIX i XX wieku?,Filip,Graliński,,1480349,,TRUE,TRUE
"Kategoriensystem zur videobasierten Klassifizierung metakognitiver, diskursiver und negativ diskursiver Aktivitäten (vidKat)",4f2f719a-f4f2-47f6-b365-18036700df55,2018,,,"Kategoriensystem zur videobasierten Klassifizierung metakognitiver, diskursiver und negativ diskursiver Aktivitäten (vidKat)",Edyta Agnieszka,Nowińska,,1480361,,FALSE,TRUE
Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,PBN-R:824902,2017,,,Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,Waldemar,Wołyński,,923993,,TRUE,TRUE
Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,PBN-R:824902,2017,,,Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,Zbigniew,Młynarek,,,,,FALSE
Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,PBN-R:824902,2017,,,Koncepcja budowy modelu sztywności podłoża na podstawie badań CPTU z wykorzystaniem analizy funkcyjnej,Jędrzej,Wierzbicki,,1550816,,,FALSE
