title,system-identifier,publication-date,doi,is-conference,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit,is-author,is-editor
"Human Language Technology Challenges for Computer Science and Linguistics. 5th Language and Technology Conference, LTC 2011, Poznań, Poland, November 25--27, 2011, Revised Selected Papers",263ed08b-446e-4a91-a4d3-5a753009fb13,2014,,TRUE,Zygmunt,Vetulani,,1210265,,TRUE,TRUE,TRUE,TRUE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Zygmunt,Vetulani,,1210265,,TRUE,TRUE,TRUE,TRUE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Marek Damian,Kubis,,3993618,,TRUE,TRUE,TRUE,TRUE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Krzysztof,Jassem,,922753,,TRUE,TRUE,TRUE,FALSE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Filip,Graliński,,1480349,,TRUE,TRUE,TRUE,FALSE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE,TRUE,FALSE
"Human Language Technology. Challenges for Computer Science and Linguistics. 7th Language and Technology Conference, LTC 2015, Poznań, Poland, November 27-29, 2015, Revised Selected Papers",283f3265-e52e-4b0d-82a9-c83724ef383b,2018,10.1007/978-3-319-93782-3,TRUE,Marcin,Junczys-Dowmunt,,1480360,,TRUE,,TRUE,FALSE
Inteligentne systemy e-learningowe wykorzystujące ontologie typu wordnet,da36ac2a-5124-420a-8845-44d69a2ddd1d,2015,,,Jacek,Marciniak,,3934773,,TRUE,TRUE,TRUE,FALSE
Intelligent Counting under Information Imprecision. Applications to Intelligent Systems and Decision Support,218342e1-e3c6-4b0b-84ed-264a68326fd7,2013,10.1007/978-3-642-34685-9,,Maciej,Wygralak,,1480291,,TRUE,TRUE,TRUE,FALSE
Intelligent Medical Decision Support System Based on Imperfect Information,3dfa231b-667c-4078-9052-b886635f8508,2017,10.1007/978-3-319-67005-8,,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE,TRUE,FALSE
Intelligent medical decision support system based on imperfect information. The case of ovarian tumor diagnosis,679323e2-cf74-4a2f-8518-4361d2308339,2018,10.1007/978-3-319-67005-8,,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE,TRUE,FALSE
Introduction to Random Graphs,9b0e6ba9-7db8-4498-9dc9-340d2cbf6e4e,2016,,,Michał,Karoński,014355,1480309,,TRUE,TRUE,TRUE,FALSE
książka kucharska LaTeX,PX-58d8cd51d5dece2833e5d28b,2015,,,Marcin,Borkowski,,1480352,,TRUE,TRUE,TRUE,FALSE
książka kucharska LaTeX,PX-58d8cd51d5dece2833e5d28b,2015,,,Przybylski,Bartłomiej,,,0000-0001-8283-7872,TRUE,,TRUE,FALSE
Leitfragen zur Analyse und Beurteilung metakognitiv-diskursiver Unterrichtsqualität,ba4eca3e-6b26-4538-bfa7-f9ae933bcc70,2016,,,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE,TRUE,FALSE
"Metakognitiv-diskursive Unterrichtsqualität. Eine Handreichung zu deren Analyse in den Fächern Geschichte, Mathematik und Religion.",PX-5c6efd4bd5de32b6f53ef5eb,2018,,,Edyta Agnieszka,Nowińska,,1480361,,FALSE,TRUE,TRUE,TRUE
"Modern Approaches in Fuzzy Sets, Intuitionistic Fuzzy Sets, Generalized Nets and Related Topics, Vol. I: Foundations",b4b26020-cdbc-4069-8294-8ab96a94c5c0,2014,,,Anna,Stachowiak,,1480351,,TRUE,TRUE,TRUE,FALSE
"Modern Approaches in Fuzzy Sets, Intuitionistic Fuzzy Sets, Generalized Nets and Related Topics, Vol. I: Foundations",b4b26020-cdbc-4069-8294-8ab96a94c5c0,2014,,,Patryk,Żywica,,3992437,,TRUE,TRUE,TRUE,FALSE
"Modern Approaches in Fuzzy Sets, Intuitionistic Fuzzy Sets, Generalized Nets and Related Topics, Vol. I: Foundations",b4b26020-cdbc-4069-8294-8ab96a94c5c0,2014,,,Maciej,Wygralak,021555,1480291,,TRUE,TRUE,FALSE,TRUE
Multiagent Scheduling  Models and Algorithms,87bb2513-71f7-4f7c-a06c-5b878e12805b,2014,,,Stanisław Jan,Gawiejnowicz,,3934774,,TRUE,TRUE,TRUE,FALSE
"New Trends in Fuzzy Sets, Intuitionistic Fuzzy Sets, Generalized Nets and Related Topics. Vol. I: Foundations",d181bc18-7202-4826-b4b6-3bd8895460f3,2013,,,Maciej,Wygralak,021555,1480291,,TRUE,TRUE,TRUE,FALSE
Philosophie der Mathematik,d84bec1b-4839-47e9-9113-fe662a709e3d,2015,,,Roman,Murawski,021531,1480282,,TRUE,TRUE,TRUE,FALSE
Philosophy of Mathematics,5b18b33d-be51-4bc8-9c5f-bf757c87c790,2018,,,Roman,Murawski,,1480282,,TRUE,TRUE,TRUE,FALSE
Podstawy logiki modalnej,7e314df8-feb1-4eda-9d5d-bd17ff172988,2014,,,Kazimierz,Świrydowicz,018593,1480299,,TRUE,TRUE,TRUE,FALSE
Podstawy teorii znaku ikonicznego,2b5dffbe-b041-4259-b233-f73b7fdf57cf,2017,,,Kazimierz,Świrydowicz,,1480299,,TRUE,TRUE,TRUE,FALSE
"Problemy filozofii, matematyki i informatyki",a6eb4442-31ca-440d-a597-9dffff474911,2018,,,Roman,Murawski,,1480282,,TRUE,TRUE,TRUE,TRUE
"Problemy filozofii, matematyki i informatyki",a6eb4442-31ca-440d-a597-9dffff474911,2018,,,Izabela,Bondecka-Krzykowska,,1480320,,TRUE,TRUE,TRUE,FALSE
Sprawa operacyjnego sprawdzenia krypt. 'Uzdrowiciele',2d7bc2d2-6836-4eb8-989e-f8718aa8e916,2015,,,Kazimierz,Świrydowicz,,1480299,,TRUE,TRUE,TRUE,FALSE
Stochastyczne metody matematyki finansowej w zadaniach,PX-57ba0157c2dcdad1b6e8f62f,2014,,,Jolanta Teresa,Grala-Michalak,,1480324,,TRUE,TRUE,TRUE,FALSE
Szkice z filozofii i historii matematyki i logiki,74aa4dff-e435-43a5-9754-0d808850cdf6,2018,,,Roman,Murawski,,1480282,,TRUE,TRUE,TRUE,FALSE
The Philosophy of Mathematics and Logic in the 1920s and 1930s in Poland,a78c6069-d4b2-4298-b288-bf86e35534a0,2014,10.1007/978-3-0348-0831-6,,Roman,Murawski,021531,1480282,,TRUE,TRUE,TRUE,FALSE
Theory of Hyperconvex Metric Spaces. A Beginner's Guide,6612b74a-a28c-4bfa-a5dd-69831efcf1ac,2015,,,Marcin,Borkowski,134811,1480352,,TRUE,TRUE,TRUE,FALSE
Współczesne problemy nauczania matematyki,PX-58d15bbdd5de914e3a6f4cfa,2014,,,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE,TRUE,FALSE
Współczesne problemy nauczania matematyki,PX-58d15bbdd5de914e3a6f4cfa,2014,,,Magdalena,Adamczak,,924040,,TRUE,TRUE,FALSE,TRUE
Współczesne problemy nauczania matematyki,PX-58d15bbdd5de914e3a6f4cfa,2014,,,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE,FALSE,TRUE
Współczesne problemy nauczania matematyki,PX-58d15bbdd5de914e3a6f4cfa,2014,,,Maria,Korcz,,899469,,TRUE,TRUE,FALSE,TRUE
"Współczesne problemy nauczania matematyki, t.7",65a285d5-47bf-4ee4-bab6-6a0d8901a336,2018,,TRUE,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE,FALSE,TRUE
Wstęp do teorii spektralnej,a43168c4-b2e6-45c7-9315-5e0f0c4fc84d,2016,,,Andrzej,Sołtysiak,,1480298,,TRUE,TRUE,TRUE,FALSE
Z zagadnień ontologicznych informatyki,a5318c6f-feb4-4e25-8aef-04a93c0babd4,2016,,,Izabela,Bondecka-Krzykowska,,1480320,,TRUE,TRUE,TRUE,FALSE
